tick,time
1501,0.8892
1502,1.4537
1503,0.6297
1504,0.0035
1505,0.0391
1506,1.7321
1507,0.0467
1508,0.1107
1509,0.0445
1510,0.0342
1511,1.9062
1512,0.0358
1513,0.0542
1514,0.6629
1515,0.5107
1516,1.6316
1517,0.7612
1518,0.0341
1519,3.677
1520,4.5176
1521,0.6271
1522,0.0418
1523,1.5708
1524,1.0139
1525,0.5157
1526,1.3513
1527,0.6129
1528,1.7592
1529,0.0424
1530,0.0348
1531,0.132
1532,0.0345
1533,0.0558
1534,0.0884
1535,0.0428
1536,2.5233
1537,0.0387
1538,3.4624
1539,0.612
1540,2.426
1541,0.9394
1542,4.3295
1543,0.6988
1544,0
1545,0.0383
1546,0.0691
1547,0.0427
1548,0.1146
1549,1.6536
1550,0.0353
1551,0.1073
1552,0.8191
1553,0.0541
1554,0.5075
1555,0.0389
1556,0.0488
1557,0.0449
1558,0.0283
1559,0.0344
1560,0.1855
1561,3.1823
1562,0.0399
1563,0.9416
1564,0
1565,0.0396
1566,0.4638
1567,0.648
1568,0.1082
1569,0.0439
1570,0.0328
1571,0.9124
1572,0.0316
1573,0.0522
1574,0.8914
1575,0.0401
1576,0.0531
1577,0.0467
1578,0.9204
1579,0.0343
1580,4.1411
1581,0.0236
1582,0.625
1583,0.0358
1584,0
1585,0.0373
1586,0.0656
1587,0.0411
1588,1.018
1589,0.6869
1590,4.3219
1591,0.4004
1592,0.0317
1593,0.0558
1594,0.8431
1595,0.0333
1596,0.9166
1597,0.9767
1598,0.0362
1599,0.0337
1600,0.055
1601,4.9149
1602,0.0335
1603,0.5305
1604,1.388
1605,0.0359
1606,0.0464
1607,1.6896
1608,0.3272
1609,0.6964
1610,0.2448
1611,0.1192
1612,0.0345
1613,0.0563
1614,1.1865
1615,2.6109
1616,1.4473
1617,0.0441
1618,0.0494
1619,0.0317
1620,0.0541
1621,0.0331
1622,0.0395
1623,0.0507
1624,1.0609
1625,0.0365
1626,0.8012
1627,1.495
1628,0.135
1629,0.043
1630,5.3812
1631,2.2093
1632,0.0337
1633,0.0641
1634,0.2778
1635,0.2376
1636,0.3199
1637,1.3163
1638,1.6283
1639,0.0366
1640,0.0542
1641,4.0617
1642,0.0423
1643,3.0502
1644,0.0034
1645,3.7219
1646,0.0598
1647,4.169
1648,0.3815
1649,0.5186
1650,0.8524
1651,0.1167
1652,0.0398
1653,6.2952
1654,0.0929
1655,0.0439
1656,0.438
1657,3.4044
1658,4.6293
1659,1.0996
1660,0.5931
1661,1.4495
1662,0.358
1663,0.45
1664,0.9611
1665,1.2875
1666,0.6967
1667,1.6139
1668,1.128
1669,7.621
1670,0.0403
1671,0.8695
1672,1.5061
1673,3.6067
1674,0.0884
1675,0.0379
1676,0.0611
1677,0.0452
1678,0.0367
1679,0.6546
1680,0.0524
1681,0.038
1682,0.0404
1683,0.8885
1684,0
1685,0.035
1686,0.059
1687,2.7213
1688,0.1241
1689,5.0471
1690,1.1774
1691,0.4243
1692,0.033
